ID,sex,age,address,famsize,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,absences,result
316,M,17,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,services,other,mother,15 to 30 min.,less than 2 hours,0,no,no,no,no,no,no,no,excellent,low,0,1
317,F,17,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,services,services,course,father,less than 15 min.,more than 10 hours,0,no,no,no,yes,yes,yes,yes,normal,high,2,1
318,F,20,Rural,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,course,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,no,yes,very bad,low,8,1
319,F,18,Urban,greater than 3 persons,higher education,secondary education,services,other,home,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,normal,very low,2,1
320,M,18,Urban,greater than 3 persons,higher education,secondary education,teacher,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,good,medium,2,1
321,M,18,Rural,greater than 3 persons,secondary education,5th to 9th grade,other,other,course,mother,less than 15 min.,5 to 10 hours,0,no,no,no,yes,no,yes,no,excellent,medium,2,1
322,F,17,Urban,greater than 3 persons,secondary education,secondary education,other,other,home,mother,less than 15 min.,5 to 10 hours,0,no,no,no,yes,no,yes,no,normal,low,2,1
323,F,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,services,home,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,0,1
324,M,17,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,home,father,15 to 30 min.,less than 2 hours,0,no,no,no,no,yes,no,yes,good,high,8,0
325,M,18,Rural,3 persons or less,secondary education,higher education,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,low,6,1
326,M,17,Urban,greater than 3 persons,secondary education,primary education (4th grade),services,other,other,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,high,0,1
327,F,18,Rural,greater than 3 persons,higher education,higher education,teacher,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,medium,8,1
328,M,18,Urban,greater than 3 persons,higher education,5th to 9th grade,health,other,reputation,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,4,1
329,F,18,Rural,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,no,yes,good,medium,12,1
330,F,19,Urban,greater than 3 persons,secondary education,,other,services,home,other,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,16,1
331,F,18,Urban,greater than 3 persons,5th to 9th grade,secondary education,other,services,reputation,father,less than 15 min.,more than 10 hours,0,no,yes,no,yes,yes,yes,yes,good,very high,10,1
332,F,18,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),other,other,home,,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,no,yes,no,good,high,2,1
333,M,17,Rural,greater than 3 persons,primary education (4th grade),5th to 9th grade,at_home,at_home,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,no,yes,no,normal,very high,2,1
334,F,18,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,low,8,1
335,F,17,Urban,greater than 3 persons,5th to 9th grade,higher education,at_home,health,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,6,1
336,F,17,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,services,other,course,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,yes,good,high,6,1
337,F,18,Rural,greater than 3 persons,secondary education,5th to 9th grade,other,services,home,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,no,no,no,yes,good,very low,15,1
338,M,18,Urban,greater than 3 persons,higher education,higher education,teacher,services,home,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,normal,low,6,1
339,F,18,Urban,greater than 3 persons,higher education,higher education,health,health,reputation,father,less than 15 min.,2 to 5 hours,1,yes,yes,no,yes,yes,yes,yes,bad,high,2,1
340,F,17,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,services,reputation,father,30 min. to 1 hour,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,low,8,1
341,F,19,Rural,greater than 3 persons,secondary education,5th to 9th grade,services,services,reputation,father,less than 15 min.,2 to 5 hours,1,yes,yes,no,no,yes,no,yes,normal,medium,0,1
342,M,18,Urban,3 persons or less,higher education,secondary education,teacher,services,course,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,good,low,0,1
343,M,18,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,at_home,other,home,other,15 to 30 min.,less than 2 hours,0,no,no,no,no,no,no,yes,normal,high,10,1
344,M,17,Urban,3 persons or less,higher education,primary education (4th grade),services,other,home,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,good,very high,22,1
345,M,17,Urban,3 persons or less,secondary education,5th to 9th grade,teacher,services,home,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,good,high,18,1
346,F,18,Rural,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,other,reputation,mother,15 to 30 min.,more than 10 hours,0,no,yes,no,yes,yes,yes,no,excellent,low,2,1
347,F,18,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,home,mother,15 to 30 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,excellent,high,0,1
348,F,17,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,excellent,high,12,1
349,F,18,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,medium,10,1
350,M,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,reputation,father,less than 15 min.,2 to 5 hours,0,no,no,no,no,no,yes,yes,good,medium,0,1
351,F,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,at_home,other,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,medium,0,1
352,M,19,Urban,greater than 3 persons,higher education,5th to 9th grade,health,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,9,1
353,F,18,Urban,greater than 3 persons,higher education,higher education,teacher,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,high,0,1
354,F,18,Urban,greater than 3 persons,secondary education,higher education,other,other,course,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,4,1
355,F,17,Urban,greater than 3 persons,higher education,higher education,health,health,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,excellent,medium,2,1
356,F,17,Urban,greater than 3 persons,higher education,secondary education,services,services,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,excellent,low,14,1
357,F,17,Urban,3 persons or less,secondary education,secondary education,services,other,home,mother,less than 15 min.,2 to 5 hours,0,yes,yes,no,no,yes,yes,yes,excellent,medium,0,1
358,F,17,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),other,other,home,father,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,low,2,1
359,M,18,Urban,3 persons or less,higher education,higher education,other,other,reputation,father,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,good,low,2,1
360,F,19,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,course,other,30 min. to 1 hour,5 to 10 hours,0,no,no,no,yes,yes,no,no,very bad,very high,12,1
361,F,19,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),other,other,course,other,30 min. to 1 hour,2 to 5 hours,2,no,yes,no,no,no,yes,yes,excellent,medium,2,0
362,F,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,2,1
363,F,17,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,good,low,4,1
364,F,17,Rural,3 persons or less,5th to 9th grade,5th to 9th grade,services,services,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,normal,medium,0,1
365,F,17,Urban,greater than 3 persons,secondary education,primary education (4th grade),services,services,course,father,less than 15 min.,5 to 10 hours,0,no,yes,no,no,no,yes,yes,normal,high,0,1
366,F,17,Urban,3 persons or less,none,5th to 9th grade,at_home,at_home,home,father,15 to 30 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,normal,medium,0,1
367,F,18,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,home,mother,15 to 30 min.,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,good,very high,0,1
368,M,18,Urban,greater than 3 persons,higher education,higher education,other,other,course,mother,less than 15 min.,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,good,medium,0,1
369,M,17,Urban,greater than 3 persons,secondary education,secondary education,other,services,reputation,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,no,yes,yes,good,medium,0,1
370,M,17,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,other,course,mother,more than 1 hour,less than 2 hours,0,no,yes,no,no,yes,yes,yes,good,high,2,1
371,F,17,Urban,greater than 3 persons,higher education,higher education,teacher,services,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,0,1
372,F,17,Urban,greater than 3 persons,higher education,higher education,teacher,teacher,course,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,no,no,yes,yes,good,medium,4,1
373,F,17,Urban,greater than 3 persons,secondary education,secondary education,at_home,other,course,mother,less than 15 min.,less than 2 hours,0,no,yes,yes,yes,yes,yes,yes,good,low,2,1
374,M,18,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,course,mother,less than 15 min.,more than 10 hours,0,no,yes,yes,yes,yes,yes,yes,good,very high,0,1
375,M,19,Rural,greater than 3 persons,secondary education,5th to 9th grade,at_home,services,home,other,less than 15 min.,less than 2 hours,0,no,yes,no,no,no,yes,no,excellent,medium,0,1
376,F,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,more than 1 hour,2 to 5 hours,0,no,no,no,yes,yes,yes,no,good,low,2,1
377,F,17,Rural,greater than 3 persons,5th to 9th grade,higher education,at_home,other,course,father,less than 15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,high,0,1
378,M,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,no,yes,yes,excellent,high,6,1
379,F,18,Urban,greater than 3 persons,secondary education,secondary education,services,services,home,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,medium,8,1
380,F,18,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,home,other,less than 15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,good,medium,0,1
381,F,18,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,15 to 30 min.,more than 10 hours,0,no,no,no,yes,yes,yes,no,good,high,6,1
382,F,17,Urban,greater than 3 persons,secondary education,higher education,services,other,course,mother,less than 15 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,good,high,8,1
383,F,17,Urban,greater than 3 persons,secondary education,5th to 9th grade,other,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,0,1
384,F,18,Urban,3 persons or less,secondary education,secondary education,services,services,home,mother,less than 15 min.,more than 10 hours,0,no,yes,no,no,yes,yes,yes,excellent,medium,4,1
385,F,17,Rural,greater than 3 persons,secondary education,5th to 9th grade,other,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,0,1
386,M,18,Urban,greater than 3 persons,higher education,higher education,teacher,services,home,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,0,1
387,M,18,Urban,3 persons or less,secondary education,higher education,services,other,home,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,medium,6,1
388,F,17,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,at_home,home,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,normal,medium,18,1
389,F,18,Urban,greater than 3 persons,5th to 9th grade,secondary education,at_home,other,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,medium,0,1
390,F,18,Urban,greater than 3 persons,secondary education,5th to 9th grade,other,services,other,mother,less than 15 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,excellent,high,4,1
391,M,18,Rural,greater than 3 persons,higher education,secondary education,teacher,services,course,mother,less than 15 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,excellent,medium,4,1
392,M,18,Urban,greater than 3 persons,higher education,secondary education,teacher,other,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,excellent,high,0,1
393,F,17,Urban,greater than 3 persons,higher education,secondary education,health,other,reputation,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,good,high,0,1
394,F,17,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),services,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,10,1
395,F,17,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),services,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,4,1
396,F,19,Urban,3 persons or less,5th to 9th grade,secondary education,at_home,other,home,other,15 to 30 min.,less than 2 hours,1,no,no,no,no,yes,no,yes,bad,low,16,1
397,F,17,Urban,greater than 3 persons,secondary education,primary education (4th grade),other,at_home,home,mother,less than 15 min.,less than 2 hours,1,no,yes,yes,no,yes,yes,yes,good,very low,6,1
398,F,21,Urban,3 persons or less,higher education,higher education,other,other,reputation,other,less than 15 min.,5 to 10 hours,2,no,no,yes,yes,yes,yes,yes,normal,medium,0,1
399,M,18,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,services,services,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,no,no,yes,good,high,11,1
400,M,18,Urban,3 persons or less,secondary education,higher education,other,other,reputation,other,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,medium,9,1
401,F,17,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,services,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,0,1
402,M,17,Urban,3 persons or less,higher education,higher education,health,other,reputation,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,high,2,1
403,F,18,Urban,3 persons or less,higher education,5th to 9th grade,teacher,other,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,low,0,1
404,M,21,Rural,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,other,course,other,15 to 30 min.,2 to 5 hours,2,no,yes,no,yes,yes,no,yes,excellent,medium,21,1
405,F,20,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,reputation,other,15 to 30 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,normal,low,8,1
406,F,19,Urban,greater than 3 persons,higher education,higher education,teacher,other,home,,less than 15 min.,less than 2 hours,1,no,yes,no,no,yes,yes,yes,normal,low,5,1
407,M,17,Urban,3 persons or less,secondary education,5th to 9th grade,other,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,high,10,1
408,F,18,Urban,greater than 3 persons,secondary education,5th to 9th grade,at_home,other,reputation,father,less than 15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,medium,5,1
409,M,18,Rural,greater than 3 persons,5th to 9th grade,secondary education,other,services,reputation,father,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,normal,very low,13,1
410,F,16,Rural,greater than 3 persons,none,5th to 9th grade,other,other,other,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,no,normal,low,0,1
411,F,17,Rural,greater than 3 persons,5th to 9th grade,secondary education,other,other,course,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,excellent,very high,2,1
412,F,15,Rural,greater than 3 persons,secondary education,secondary education,other,services,course,father,15 to 30 min.,less than 2 hours,0,no,no,no,no,no,yes,yes,good,very low,0,1
413,M,16,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,services,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,excellent,high,0,0
414,M,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,home,mother,less than 15 min.,2 to 5 hours,0,no,no,yes,no,no,yes,yes,good,high,4,0
415,M,15,Rural,3 persons or less,higher education,primary education (4th grade),health,services,reputation,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,medium,0,1
416,M,15,Rural,3 persons or less,higher education,primary education (4th grade),health,services,reputation,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,medium,7,0
417,M,16,Rural,greater than 3 persons,secondary education,higher education,other,health,other,mother,30 min. to 1 hour,2 to 5 hours,0,no,no,no,no,no,yes,no,normal,high,4,1
418,M,15,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,course,mother,more than 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,excellent,high,8,0
419,M,15,Urban,3 persons or less,secondary education,secondary education,at_home,at_home,reputation,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,medium,0,1
420,M,17,Rural,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,other,mother,30 min. to 1 hour,less than 2 hours,0,no,no,no,yes,yes,no,no,excellent,very high,8,0
421,F,16,Rural,greater than 3 persons,higher education,higher education,teacher,teacher,course,mother,15 to 30 min.,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,good,low,6,1
422,F,15,Rural,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,services,course,mother,15 to 30 min.,less than 2 hours,0,no,no,no,no,yes,yes,no,excellent,very low,3,1
423,F,16,Rural,greater than 3 persons,5th to 9th grade,secondary education,other,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,very high,2,1
424,M,16,Rural,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,other,course,father,15 to 30 min.,2 to 5 hours,0,no,no,no,no,yes,yes,no,good,medium,0,1
425,F,16,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,high,4,1
426,F,16,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,services,course,mother,less than 15 min.,5 to 10 hours,1,no,yes,no,no,yes,yes,no,very bad,medium,0,0
427,F,16,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,services,course,mother,less than 15 min.,5 to 10 hours,1,no,yes,no,no,yes,yes,no,very bad,medium,3,0
428,F,15,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),at_home,other,home,mother,less than 15 min.,2 to 5 hours,0,yes,yes,no,no,no,yes,yes,good,high,0,0
429,F,16,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,course,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,no,yes,no,excellent,high,0,1
430,M,17,Rural,3 persons or less,primary education (4th grade),5th to 9th grade,at_home,services,reputation,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,excellent,very high,4,1
431,F,16,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,home,father,more than 1 hour,more than 10 hours,0,no,yes,no,no,no,yes,yes,good,medium,0,1
432,F,16,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,other,father,more than 1 hour,5 to 10 hours,0,yes,yes,no,no,yes,yes,no,good,high,2,1
433,F,15,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,home,father,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,medium,1,1
434,F,16,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,good,low,0,1
435,F,15,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,at_home,course,father,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,no,good,low,0,1
436,F,15,Rural,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,other,father,less than 15 min.,5 to 10 hours,0,yes,yes,no,no,yes,yes,no,good,high,2,1
437,M,16,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,other,father,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,no,normal,high,6,1
438,F,18,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,other,course,father,less than 15 min.,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,normal,high,9,0
439,M,15,Urban,greater than 3 persons,secondary education,primary education (4th grade),other,services,home,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,yes,no,normal,low,0,1
440,F,16,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,services,course,father,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,medium,1,1
441,M,15,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,health,other,reputation,mother,30 min. to 1 hour,less than 2 hours,0,no,no,no,no,yes,yes,no,good,medium,1,1
442,M,16,Urban,greater than 3 persons,higher education,higher education,other,teacher,course,father,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,good,medium,0,1
443,F,15,Rural,greater than 3 persons,secondary education,secondary education,services,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,very high,4,1
444,F,16,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,15 to 30 min.,2 to 5 hours,1,no,yes,no,yes,no,yes,no,good,high,2,1
445,F,16,Rural,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,home,father,30 min. to 1 hour,less than 2 hours,0,no,yes,no,yes,yes,yes,no,good,medium,0,1
446,M,16,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),at_home,services,course,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,bad,high,4,1
447,M,15,Rural,3 persons or less,primary education (4th grade),secondary education,at_home,other,reputation,father,30 min. to 1 hour,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,good,low,2,1
448,F,15,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,services,course,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,no,excellent,medium,0,1
449,F,16,Rural,3 persons or less,5th to 9th grade,primary education (4th grade),other,other,home,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,excellent,high,2,0
450,M,15,Urban,greater than 3 persons,secondary education,secondary education,services,services,course,father,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,no,yes,yes,good,medium,11,1
451,F,16,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,course,father,15 to 30 min.,2 to 5 hours,3,yes,yes,no,no,yes,yes,no,normal,high,0,0
452,F,17,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,at_home,course,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,no,no,good,very high,4,1
453,F,19,Urban,greater than 3 persons,5th to 9th grade,secondary education,at_home,services,course,other,less than 15 min.,less than 2 hours,1,no,no,no,no,yes,no,yes,good,high,0,1
454,F,17,Rural,greater than 3 persons,5th to 9th grade,primary education (4th grade),at_home,other,course,mother,30 min. to 1 hour,less than 2 hours,0,no,yes,no,yes,yes,no,no,excellent,very high,2,1
455,F,15,Rural,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,other,course,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,no,no,excellent,low,0,0
456,F,16,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,father,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,no,yes,normal,high,1,1
457,F,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,home,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,no,no,good,medium,6,0
458,F,17,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,0,1
459,F,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,services,course,father,less than 15 min.,less than 2 hours,1,no,yes,yes,yes,no,yes,yes,good,high,1,1
460,F,18,Rural,3 persons or less,secondary education,5th to 9th grade,other,other,course,other,15 to 30 min.,5 to 10 hours,2,no,yes,no,no,no,no,no,normal,medium,6,1
461,F,19,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,services,course,mother,less than 15 min.,5 to 10 hours,1,no,no,no,yes,yes,no,no,excellent,medium,6,0
462,M,18,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,home,mother,15 to 30 min.,less than 2 hours,1,no,no,no,yes,yes,no,yes,good,high,0,1
463,F,18,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,at_home,course,mother,15 to 30 min.,less than 2 hours,1,no,no,no,no,no,no,yes,normal,low,4,1
464,F,19,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,course,other,15 to 30 min.,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,very bad,very low,12,0
465,F,16,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,health,other,course,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,no,yes,no,normal,medium,2,1
466,F,17,Urban,greater than 3 persons,none,primary education (4th grade),other,at_home,course,father,15 to 30 min.,less than 2 hours,0,no,no,no,yes,no,yes,no,bad,high,5,1
467,F,16,Rural,3 persons or less,primary education (4th grade),5th to 9th grade,at_home,other,course,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,no,yes,good,high,0,0
468,F,16,Urban,greater than 3 persons,secondary education,secondary education,other,other,reputation,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,yes,no,yes,good,very high,0,1
469,F,16,Rural,3 persons or less,primary education (4th grade),primary education (4th grade),services,services,home,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,good,high,2,1
470,M,17,Urban,greater than 3 persons,secondary education,secondary education,services,at_home,course,mother,15 to 30 min.,more than 10 hours,1,no,yes,yes,yes,yes,yes,no,excellent,high,0,1
